step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
105,4286.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
106,4332.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
107,4378.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
108,4424.0,46,0.00,1.00,1.00,30,10,0,1,1,5,0.1087,0.9969,0.8889,0.1087,0.0,0.7089
109,4470.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
110,4516.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
111,4562.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
112,4608.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
113,4654.0,46,0.00,1.00,1.00,30,10,0,1,1,5,0.1087,0.9969,0.8889,0.1087,0.0,0.7089
114,4700.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
115,4746.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
116,4792.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
117,4838.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
118,4884.0,46,0.00,2.00,2.00,30,10,0,1,1,4,0.0870,0.9939,0.8889,0.0870,0.0,0.7008
119,4930.0,46,0.00,1.00,1.00,30,10,0,1,1,5,0.1087,0.9969,0.8889,0.1087,0.0,0.7089
120,4976.0,46,0.00,0.00,0.00,30,10,0,0,0,3,0.0652,1.0000,1.0000,0.0652,0.0,0.7196
121,5022.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
122,5068.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
123,5114.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
124,5160.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
125,5206.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
126,5252.0,46,0.00,2.00,2.00,30,10,0,1,1,4,0.0870,0.9939,0.8889,0.0870,0.0,0.7008
127,5298.0,46,0.00,1.00,1.00,30,10,0,1,1,4,0.0870,0.9969,0.8889,0.0870,0.0,0.7023
128,5344.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
129,5390.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
