Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
536,7,0,3.5,0,1,0,22.14,0.0
537,7,0,3.5,0,0,1,23.14,0.0
538,7,0,3.5,0,1,0,24.14,0.0
539,7,0,3.5,0,1,0,25.14,0.0
540,7,0,3.5,0,0,1,26.14,0.0
541,6,1,2.5,0,1,1,26.33,0.25
542,5,1,2.0,0,0,0,22.0,0.5
543,4,1,1.5,0,0,0,17.5,0.75
544,3,2,0.5,0,1,0,16.0,1.0
545,2,2,0.0,0,0,0,10.8,1.4
546,1,3,1.0,0,0,0,5.4,2.0
547,0,4,2.0,0,0,0,0.0,2.8
548,0,4,2.0,0,0,0,0.0,3.6
549,0,5,2.5,0,0,1,0.0,4.6
550,0,5,2.5,0,0,0,0.0,5.6
551,0,5,2.5,1,0,1,0.0,6.6
552,0,5,2.5,0,0,0,0.0,7.6
553,0,5,2.5,0,0,1,0.0,8.6
554,0,5,2.5,1,0,0,0.0,9.6
555,0,5,2.5,0,0,1,0.0,10.6
556,0,5,2.5,1,0,0,0.0,11.6
557,0,5,2.5,0,0,1,0.0,12.6
558,0,5,2.5,1,0,0,0.0,13.6
559,0,5,2.5,0,0,0,0.0,14.6
560,0,5,2.5,1,0,1,0.0,15.6
561,0,5,2.5,0,0,0,0.0,16.6
562,0,5,2.5,1,0,1,0.0,17.6
563,0,5,2.5,0,0,0,0.0,18.6
564,0,5,2.5,1,0,1,0.0,19.6
565,0,5,2.5,0,0,0,0.0,20.6
