episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
2,32,1968.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,25.86,16.43,7,7,10,0.2174,0.1643,0.35,0.0217,-0.0821,-0.07,0.0065,0.0,-0.1456,-0.1217,-0.1281,0.995,46
2,33,1994.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,16.43,6.57,7,7,5,0.1923,0.0657,0.35,0.0192,-0.0329,-0.07,0.0058,0.0,-0.0971,-0.0447,-0.0539,0.995,26
2,34,2040.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,6.57,15.29,7,7,10,0.2174,0.1529,0.35,0.0217,-0.0764,-0.07,0.0065,0.0,-0.1399,-0.0934,-0.1029,0.995,46
2,35,2136.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,15.29,40.43,7,7,23,0.2396,0.4043,0.35,0.024,-0.2021,-0.07,0.0072,0.0,-0.265,-0.1423,-0.161,0.995,96
2,36,2232.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,40.43,39.29,7,7,23,0.2396,0.3929,0.35,0.024,-0.1964,-0.07,0.0072,0.0,-0.2592,-0.1125,-0.1335,0.995,96
2,37,2328.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,39.29,39.86,7,7,23,0.2396,0.3986,0.35,0.024,-0.1993,-0.07,0.0072,0.0,-0.2621,-0.1335,-0.1528,0.995,96
2,38,2424.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,39.86,39.14,7,7,23,0.2396,0.3914,0.35,0.024,-0.1957,-0.07,0.0072,0.0,-0.2585,-0.1528,-0.1697,0.995,96
2,39,2490.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,39.14,26.71,7,7,15,0.2273,0.2671,0.35,0.0227,-0.1336,-0.07,0.0068,0.0,-0.1968,-0.1865,-0.1939,0.995,66
2,40,2556.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.71,26.71,7,7,15,0.2273,0.2671,0.35,0.0227,-0.1336,-0.07,0.0068,0.0,-0.1968,-0.1939,-0.2006,0.995,66
2,41,2582.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.71,7.14,7,7,5,0.1923,0.0714,0.35,0.0192,-0.0357,-0.07,0.0058,0.0,-0.0999,-0.071,-0.0787,0.995,26
2,42,2628.0,Low*Medium*NoStarvation,20,Medium*Low*NoStarvation,7.14,22.0,7,2,10,0.2174,0.22,0.1,0.0217,-0.11,-0.02,0.0065,0.0,-0.1235,-0.1029,-0.105,0.995,46
2,43,2639.0,Medium*Low*NoStarvation,45,Low*Low*NoStarvation,22.0,0.0,2,0,2,0.0208,0.0,0.0,0.0021,-0.0,-0.0,0.0006,0.0,0.0006,0.0,0.0001,0.995,96
3,0,146.0,Low*Low*NoStarvation,45,Medium*Medium*NoStarvation,0.83,40.71,2,7,47,0.4896,0.4071,0.35,0.049,-0.2036,-0.07,0.0147,0.0,-0.2589,-0.0537,-0.0813,0.99,96
3,1,172.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,40.71,8.43,7,7,9,0.3462,0.0843,0.35,0.0346,-0.0421,-0.07,0.0104,0.0,-0.1018,-0.0787,-0.0859,0.99,26
3,2,268.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,8.43,42.14,7,7,45,0.4688,0.4214,0.35,0.0469,-0.2107,-0.07,0.0141,0.0,-0.2667,-0.161,-0.1793,0.99,96
3,3,334.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,42.14,26.43,7,7,29,0.4394,0.2643,0.35,0.0439,-0.1321,-0.07,0.0132,0.0,-0.189,-0.2006,-0.2071,0.99,66
3,4,380.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,26.43,17.14,7,7,19,0.413,0.1714,0.35,0.0413,-0.0857,-0.07,0.0124,0.0,-0.1433,-0.1281,-0.1345,0.99,46
