episode,timestamp,state,action,we_green,ns_green,we_waiting_time,ns_waiting_time,we_queue,ns_queue,reward
2,1700.0,1_0_0,2,30,10,42.0,0.0,6,0,-0.2569565217391305
2,1746.0,1_0_0,5,20,20,106.0,0.0,7,0,-0.586304347826087
2,1802.0,1_0_0,6,30,20,115.0,0.0,7,0,-0.6316071428571428
2,1828.0,1_0_0,0,10,10,43.0,1.0,7,1,-0.2884615384615385
2,1864.0,1_0_0,1,20,10,45.0,0.0,7,0,-0.2841666666666667
2,1910.0,1_0_0,2,30,10,42.0,0.0,7,0,-0.2669565217391304
2,1971.0,1_0_0,3,45,10,59.0,1.0,7,1,-0.3677049180327869
2,2017.0,1_0_0,2,30,10,41.0,0.0,7,0,-0.2619565217391304
2,2053.0,1_0_0,1,20,10,42.0,0.0,6,0,-0.2575
2,2124.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
2,2180.0,1_0_0,6,30,20,112.0,0,7,0,-0.6171428571428571
2,2226.0,1_0_0,5,20,20,107.0,0,7,0,-0.5984782608695652
2,2272.0,1_0_0,2,30,10,39.0,0,6,0,-0.24521739130434783
2,2333.0,1_0_0,3,45,10,74.0,0,7,0,-0.429672131147541
2,2379.0,1_0_0,5,20,20,117.0,0,7,0,-0.6484782608695652
2,2425.0,1_0_0,2,30,10,38.0,0,6,0,-0.24021739130434783
2,2461.0,1_0_0,4,10,20,125.0,0,7,0,-0.6916666666666667
2,2507.0,1_0_0,5,20,20,110.0,0,7,0,-0.6134782608695653
2,2533.0,1_0_0,0,10,10,36.0,0,6,0,-0.23423076923076921
2,2594.0,1_0_0,3,45,10,64.0,0,7,0,-0.379672131147541
2,2665.0,1_0_0,7,45,20,127.0,0,7,0,-0.6961267605633803
2,2726.0,1_0_0,3,45,10,60.0,0,7,0,-0.359672131147541
2,2762.0,1_0_0,1,20,10,60.0,0,7,0,-0.3625
2,2798.0,1_0_0,1,20,10,42.0,0,7,0,-0.2716666666666666
2,2854.0,1_0_0,6,30,20,114.0,0,7,0,-0.6319642857142856
2,2910.0,1_0_0,6,30,20,111.0,0,7,0,-0.6164285714285714
2,2936.0,1_0_0,0,10,10,47.0,0,7,0,-0.29923076923076924
2,2962.0,1_0_0,0,10,10,43.0,0,7,0,-0.2792307692307692
2,3023.0,1_0_0,3,45,10,52.0,0,7,0,-0.319672131147541
2,3059.0,1_0_0,1,20,10,42.0,0,6,0,-0.26166666666666666
2,3095.0,1_0_0,4,10,20,127.0,0,7,0,-0.7016666666666667
2,3131.0,1_0_0,4,10,20,135.0,0,7,0,-0.7416666666666667
2,3177.0,1_0_0,2,30,10,27.0,0,5,0,-0.17456521739130434
2,3213.0,1_0_0,4,10,20,112.0,0,7,0,-0.6258333333333334
2,3249.0,1_0_0,1,20,10,45.0,0,7,0,-0.2866666666666666
2,3275.0,1_0_0,0,10,10,39.0,0,7,0,-0.25923076923076926
2,3311.0,1_0_0,1,20,10,46.0,0,7,0,-0.29166666666666663
2,3382.0,1_0_0,7,45,20,0,0,0,0,0.0033802816901408453
3,46.0,0_0_0,2,30,10,55.0,0.0,7,0,-0.33521739130434786
3,102.0,1_0_0,6,30,20,118.0,0.0,7,0,-0.6466071428571428
3,163.0,1_0_0,3,45,10,63.0,0.0,7,0,-0.3717213114754098
3,234.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
3,305.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
3,341.0,1_0_0,1,20,10,34.0,0.0,6,0,-0.21833333333333335
3,387.0,1_0_0,5,20,20,116.0,0.0,7,0,-0.6369565217391303
3,433.0,1_0_0,2,30,10,40.0,0.0,6,0,-0.24695652173913044
3,469.0,1_0_0,1,20,10,43.0,2.0,7,1,-0.29250000000000004
3,515.0,1_0_0,2,30,10,51.0,0.0,7,0,-0.3126086956521739
3,586.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7314788732394366
3,632.0,1_0_0,2,30,10,42.0,0.0,7,0,-0.2669565217391304
3,703.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
3,729.0,1_0_0,0,10,10,40.0,0.0,7,0,-0.25961538461538464
3,790.0,1_0_0,3,45,10,70.0,2.0,7,1,-0.42721311475409834
3,826.0,1_0_0,4,10,20,119.0,0.0,7,0,-0.6533333333333332
3,862.0,1_0_0,4,10,20,118.0,0.0,7,0,-0.6475
3,918.0,1_0_0,6,30,20,116.0,0.0,7,0,-0.6366071428571428
3,954.0,1_0_0,4,10,20,128.0,0.0,7,0,-0.6983333333333333
3,1010.0,1_0_0,6,30,20,112.0,0.0,7,0,-0.6160714285714286
3,1056.0,1_0_0,5,20,20,129.0,0.0,7,0,-0.7019565217391304
3,1102.0,1_0_0,5,20,20,118.0,0.0,7,0,-0.6469565217391303
3,1163.0,1_0_0,3,45,10,63.0,0.0,7,0,-0.37221311475409835
3,1224.0,1_0_0,3,45,10,64.0,1.0,7,1,-0.39221311475409837
3,1280.0,1_0_0,6,30,20,118.0,0.0,7,0,-0.647142857142857
3,1326.0,1_0_0,5,20,20,112.0,0.0,7,0,-0.6169565217391304
3,1372.0,1_0_0,5,20,20,118.0,0.0,7,0,-0.6476086956521738
3,1443.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7314788732394366
3,1499.0,1_0_0,6,30,20,107.0,0.0,7,0,-0.5916071428571429
3,1555.0,1_0_0,6,30,20,108.0,0.0,7,0,-0.5966071428571429
3,1601.0,1_0_0,5,20,20,113.0,0.0,7,0,-0.6219565217391303
3,1627.0,1_0_0,0,10,10,53.0,0.0,7,0,-0.3257692307692308
3,1688.0,1_0_0,3,45,10,69.0,0.0,7,0,-0.4022131147540983
3,1734.0,1_0_0,2,30,10,37.0,0.0,7,0,-0.24130434782608695
3,1770.0,1_0_0,1,20,10,42.0,0.0,7,0,-0.2683333333333333
3,1816.0,1_0_0,5,20,20,105.0,0.0,7,0,-0.581304347826087
3,1852.0,1_0_0,1,20,10,39.0,0.0,7,0,-0.2525
3,1898.0,1_0_0,5,20,20,113.0,0.0,7,0,-0.6226086956521738
3,1934.0,1_0_0,4,10,20,117.0,0,7,0,-0.6458333333333333
3,1970.0,1_0_0,1,20,10,40.0,0,6,0,-0.25166666666666665
3,2026.0,1_0_0,6,30,20,113.0,0,7,0,-0.6269642857142856
3,2072.0,1_0_0,5,20,20,112.0,0,7,0,-0.6234782608695653
3,2098.0,1_0_0,0,10,10,47.0,0,7,0,-0.29923076923076924
3,2159.0,1_0_0,3,45,10,60.0,0,7,0,-0.359672131147541
3,2220.0,1_0_0,3,45,10,66.0,0,7,0,-0.389672131147541
3,2246.0,1_0_0,0,10,10,43.0,0,7,0,-0.2792307692307692
3,2292.0,1_0_0,5,20,20,112.0,0,7,0,-0.6234782608695653
3,2328.0,1_0_0,1,20,10,46.0,0,7,0,-0.29166666666666663
3,2374.0,1_0_0,2,30,10,43.0,0,7,0,-0.2752173913043478
3,2435.0,1_0_0,3,45,10,69.0,0,7,0,-0.40467213114754097
3,2461.0,1_0_0,0,10,10,48.0,0,7,0,-0.30423076923076925
3,2497.0,1_0_0,1,20,10,43.0,0,7,0,-0.2766666666666666
3,2543.0,1_0_0,2,30,10,45.0,0,7,0,-0.2852173913043478
3,2614.0,1_0_0,7,45,20,121.0,0,7,0,-0.6661267605633803
3,2660.0,1_0_0,2,30,10,45.0,0,7,0,-0.2852173913043478
3,2731.0,1_0_0,7,45,20,137.0,0,7,0,-0.7461267605633803
3,2787.0,1_0_0,6,30,20,119.0,0,7,0,-0.6575
3,2813.0,1_0_0,0,10,10,44.0,0,7,0,-0.28423076923076923
3,2849.0,1_0_0,4,10,20,121.0,0,7,0,-0.6708333333333333
3,2905.0,1_0_0,6,30,20,128.0,0,7,0,-0.7025
3,2931.0,1_0_0,0,10,10,60.0,0,7,0,-0.36538461538461536
3,2957.0,1_0_0,0,10,10,59.0,0,7,0,-0.36038461538461536
3,3003.0,1_0_0,2,30,10,53.0,0,7,0,-0.32521739130434785
3,3064.0,1_0_0,3,45,10,63.0,0,7,0,-0.374672131147541
3,3110.0,1_0_0,5,20,20,112.0,0,7,0,-0.6234782608695653
3,3156.0,1_0_0,5,20,20,105.0,0,7,0,-0.5884782608695652
3,3202.0,1_0_0,2,30,10,35.0,0,6,0,-0.2252173913043478
